,Customer ID,Age,Gender,Product,Category,Location,Season,Review Rating,Subscription Status,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases,Date,Quantity,Purchase Amount (USD),Sales,Holiday,Year,Month,Day,Age Group,Previous Purchases Group
0,1,55,Male,Blouse,Clothing,Kentucky,Winter,3.1,True,True,True,14,Fortnightly,2023-11-24,3,53,159.0,Black Friday,2023,11,24,Senior,11-20
1,2,19,Male,Sweater,Clothing,Maine,Winter,3.1,True,True,True,2,Fortnightly,2023-02-27,2,64,128.0,No Holiday,2023,2,27,Young Adult,0-10
2,3,50,Male,Jeans,Clothing,Massachusetts,Spring,3.1,True,True,True,23,Weekly,2023-01-13,1,73,73.0,No Holiday,2023,1,13,Adult,21-30
3,4,21,Male,Sandals,Footwear,Rhode Island,Spring,3.5,True,True,True,49,Weekly,2023-05-21,1,90,90.0,No Holiday,2023,5,21,Young Adult,41-50
4,5,45,Male,Blouse,Clothing,Oregon,Spring,2.7,True,True,True,31,Annually,2023-05-06,2,49,98.0,No Holiday,2023,5,6,Adult,31-40
5,6,46,Male,Sneakers,Footwear,Wyoming,Summer,2.9,True,True,True,14,Weekly,2023-04-25,1,20,20.0,No Holiday,2023,4,25,Adult,11-20
6,7,63,Male,Shirt,Clothing,Montana,Fall,3.2,True,True,True,49,Quarterly,2023-03-13,2,85,170.0,No Holiday,2023,3,13,Senior,41-50
7,8,27,Male,Shorts,Clothing,Louisiana,Winter,3.2,True,True,True,19,Weekly,2023-02-22,4,34,136.0,No Holiday,2023,2,22,Young Adult,11-20
8,9,26,Male,Coat,Outerwear,West Virginia,Summer,2.6,True,True,True,8,Annually,2023-12-13,2,97,194.0,No Holiday,2023,12,13,Young Adult,0-10
9,10,57,Male,Handbag,Accessories,Missouri,Spring,4.8,True,True,True,4,Quarterly,2023-10-07,4,31,124.0,No Holiday,2023,10,7,Senior,0-10
10,11,53,Male,Shoes,Footwear,Arkansas,Fall,4.1,True,True,True,26,Bi-Weekly,2023-02-14,2,34,68.0,Valentine's Day,2023,2,14,Senior,21-30
11,12,30,Male,Shorts,Clothing,Hawaii,Winter,4.9,True,True,True,10,Fortnightly,2023-10-30,3,68,204.0,No Holiday,2023,10,30,Young Adult,11-20
12,13,61,Male,Coat,Outerwear,Delaware,Winter,4.5,True,True,True,37,Fortnightly,2023-08-05,3,72,216.0,No Holiday,2023,8,5,Senior,31-40
13,14,65,Male,Dress,Clothing,New Hampshire,Spring,4.7,True,True,True,31,Weekly,2023-01-17,4,51,204.0,No Holiday,2023,1,17,Senior,31-40
14,15,64,Male,Coat,Outerwear,New York,Winter,4.7,True,True,True,34,Weekly,2023-01-16,4,53,212.0,No Holiday,2023,1,16,Senior,31-40
15,16,64,Male,Skirt,Clothing,Rhode Island,Winter,2.8,True,True,True,8,Monthly,2023-02-17,3,81,243.0,No Holiday,2023,2,17,Senior,0-10
16,17,25,Male,Sunglasses,Accessories,Alabama,Spring,4.1,True,True,True,44,Bi-Weekly,2023-04-22,4,36,144.0,No Holiday,2023,4,22,Young Adult,41-50
17,18,53,Male,Dress,Clothing,Mississippi,Winter,4.7,True,True,True,36,Quarterly,2023-04-30,2,38,76.0,No Holiday,2023,4,30,Senior,31-40
18,19,52,Male,Sweater,Clothing,Montana,Summer,4.6,True,True,True,17,Weekly,2023-09-16,2,48,96.0,No Holiday,2023,9,16,Senior,11-20
19,20,66,Male,Pants,Clothing,Rhode Island,Summer,3.3,True,True,True,46,Bi-Weekly,2023-11-05,3,90,270.0,No Holiday,2023,11,5,Elderly,41-50
20,21,21,Male,Pants,Clothing,Louisiana,Winter,2.8,True,True,True,50,Every 3 Months,2023-01-14,1,51,51.0,No Holiday,2023,1,14,Young Adult,50+
21,22,31,Male,Pants,Clothing,North Carolina,Winter,4.1,True,True,True,22,Quarterly,2023-10-15,2,62,124.0,No Holiday,2023,10,15,Young Adult,21-30
22,23,56,Male,Pants,Clothing,California,Summer,3.2,True,True,True,32,Annually,2023-04-12,4,37,148.0,No Holiday,2023,4,12,Senior,31-40
23,24,31,Male,Pants,Clothing,Oklahoma,Winter,4.4,True,True,True,40,Weekly,2023-11-29,1,88,88.0,No Holiday,2023,11,29,Young Adult,41-50
24,25,18,Male,Jacket,Outerwear,Florida,Fall,2.9,True,True,True,16,Weekly,2023-12-26,1,22,22.0,No Holiday,2023,12,26,Child,11-20
25,26,18,Male,Hoodie,Clothing,Texas,Summer,3.6,True,True,True,14,Annually,2023-10-07,2,25,50.0,No Holiday,2023,10,7,Child,11-20
26,27,38,Male,Jewelry,Accessories,Nevada,Spring,3.6,True,True,True,13,Annually,2023-08-03,2,20,40.0,No Holiday,2023,8,3,Adult,11-20
27,28,56,Male,Shorts,Clothing,Kentucky,Summer,5.0,True,True,True,7,Every 3 Months,2023-04-23,1,56,56.0,No Holiday,2023,4,23,Senior,0-10
28,29,54,Male,Handbag,Accessories,North Carolina,Fall,4.4,True,True,True,41,Every 3 Months,2023-08-18,1,94,94.0,No Holiday,2023,8,18,Senior,41-50
29,30,31,Male,Dress,Clothing,Wyoming,Fall,4.1,True,True,True,14,Weekly,2023-10-29,3,48,144.0,No Holiday,2023,10,29,Young Adult,11-20
30,31,57,Male,Jewelry,Accessories,North Carolina,Winter,4.7,True,True,True,16,Monthly,2023-05-23,4,31,124.0,No Holiday,2023,5,23,Senior,11-20
31,32,33,Male,Dress,Clothing,West Virginia,Winter,4.7,True,True,True,45,Monthly,2023-01-04,3,79,237.0,No Holiday,2023,1,4,Young Adult,41-50
32,33,36,Male,Jacket,Outerwear,Kansas,Summer,4.9,True,True,True,37,Annually,2023-03-23,2,67,134.0,No Holiday,2023,3,23,Adult,31-40
33,34,54,Male,Pants,Clothing,Colorado,Summer,3.3,True,True,True,45,Quarterly,2023-12-24,3,38,114.0,Christmas Eve,2023,12,24,Senior,41-50
34,35,36,Male,T-shirt,Clothing,North Dakota,Spring,4.6,True,True,True,38,Quarterly,2023-08-05,3,91,273.0,No Holiday,2023,8,5,Adult,31-40
35,36,54,Male,Blouse,Clothing,Massachusetts,Summer,4.0,True,True,True,48,Bi-Weekly,2023-06-24,3,33,99.0,No Holiday,2023,6,24,Senior,41-50
36,37,35,Male,T-shirt,Clothing,Illinois,Winter,4.6,True,True,True,44,Fortnightly,2023-05-23,3,69,207.0,No Holiday,2023,5,23,Young Adult,41-50
37,38,35,Male,Jeans,Clothing,Indiana,Summer,2.8,True,True,True,10,Weekly,2023-03-21,4,45,180.0,No Holiday,2023,3,21,Young Adult,11-20
38,39,29,Male,Dress,Clothing,Florida,Winter,3.7,True,True,True,44,Every 3 Months,2023-04-21,4,37,148.0,No Holiday,2023,4,21,Young Adult,41-50
39,40,70,Male,Pants,Clothing,Arizona,Summer,4.2,True,True,True,18,Monthly,2023-06-22,1,60,60.0,No Holiday,2023,6,22,Elderly,11-20
40,41,69,Male,Handbag,Accessories,Louisiana,Winter,4.6,True,True,True,31,Quarterly,2023-02-22,2,76,152.0,No Holiday,2023,2,22,Elderly,31-40
41,42,67,Male,Scarf,Accessories,Alaska,Spring,4.5,True,True,True,40,Annually,2023-02-17,3,39,117.0,No Holiday,2023,2,17,Elderly,41-50
